Time Period,Category Name,Large Household Appliances,Small Household Appliances,IT and Telcomms Equipment,Consumer Equipment,Lighting Equipment,Electrical and Electronic Tools,Toys Leisure and Sports,Medical Devices,Monitoring and Control Instruments,Automatic Dispensers,Display Equipment,Cooling Appliances Containing Refrigerants,Gas Discharge Lamps and LED Light Sources,Photovoltaic Panels
Jan - Mar 2023,"Household WEEE collected from a DCF 
(tonnes)","16,608.122","6,764.166","6,040.033","4,195.164","1,132.057","5,338.213","1,060.790",0.005,215.222,0.000,"9,089.733","19,393.939",232.790,47.501
Jan - Mar 2023,Household WEEE returned under regulation 43 (tonnes),"22,999.449",225.979,382.018,59.899,30.641,90.858,19.939,0.289,9.459,0.003,640.315,"9,003.383",61.037,23.917
Jan - Mar 2023,Household WEEE returned under regulation 50 (tonnes),"4,330.648","1,226.909","3,246.687",789.306,169.758,591.982,122.631,2.278,39.808,0.000,"1,311.501","3,636.329",729.263,8.230
Oct - Dec 2022,"Household WEEE collected from a DCF 
(tonnes)","14,243.371","5,754.716","5,112.425","3,549.248",958.795,"4,526.411",896.627,0.250,184.818,0.000,"7,829.203","18,075.628",198.566,48.304
Oct - Dec 2022,Household WEEE returned under regulation 43 (tonnes),"22,738.567",168.893,257.857,43.969,17.232,62.193,10.368,0.159,2.784,0.027,592.737,"10,612.517",55.373,2.232
Oct - Dec 2022,Household WEEE returned under regulation 50 (tonnes),"3,419.651","1,307.749","3,023.626",925.395,132.197,527.267,101.802,5.349,59.610,0.233,"1,088.848","3,423.592",652.000,81.071
Jul - Sep 2022,"Household WEEE collected from a DCF 
(tonnes)","15,489.817","7,124.884","6,352.462","4,410.840","1,189.530","5,611.894","1,116.165",0.000,225.994,0.000,"8,226.940","20,899.630",252.258,50.834
Jul - Sep 2022,Household WEEE returned under regulation 43 (tonnes),"19,729.810",206.789,142.542,36.356,17.089,61.489,20.384,0.217,3.226,0.000,534.103,"12,073.394",53.410,1.634
Jul - Sep 2022,Household WEEE returned under regulation 50 (tonnes),"3,094.352","1,177.350","3,129.001",746.918,128.264,367.420,92.369,1.205,41.284,0.278,"1,446.036","3,719.753",719.130,4.817
Apr - Jun 2022,"Household WEEE collected from a DCF 
(tonnes)","16,083.370","7,208.864","6,404.179","4,464.834","1,203.120","5,672.180","1,125.160",0.000,228.556,0.000,"8,024.325","19,814.790",274.394,50.451
Apr - Jun 2022,Household WEEE returned under regulation 43 (tonnes),"19,694.711",218.154,161.751,56.776,28.039,78.708,18.484,0.223,3.887,0.000,424.607,"9,787.741",54.807,4.932
Apr - Jun 2022,Household WEEE returned under regulation 50 (tonnes),"3,364.876","1,187.664","3,153.392",968.690,157.923,386.327,92.985,2.173,59.207,0.000,"1,477.940","3,086.191",741.941,87.481
Jan - Mar 2022,"Household WEEE collected from a DCF 
(tonnes)","16,905.607","6,500.247","5,782.991","4,017.205","1,079.529","5,091.655","1,009.921",0.000,204.999,0.000,"8,612.278","18,735.476",219.741,45.176
Jan - Mar 2022,Household WEEE returned under regulation 43 (tonnes),"23,968.965",253.819,248.308,116.697,43.344,77.921,18.842,0.236,4.557,0.000,428.063,"9,661.444",67.911,0.755
Jan - Mar 2022,Household WEEE returned under regulation 50 (tonnes),"4,225.419","1,590.230","3,299.473","1,096.596",177.198,488.882,115.389,0.974,60.342,0.885,"1,515.158","3,234.168",761.264,4.726
Oct - Dec 2021,"Household WEEE collected from a DCF 
(tonnes)","16,070.695","5,642.747","5,065.374","3,463.381",934.054,"4,405.538",866.142,0.000,175.984,0.000,"7,341.712","17,961.547",216.337,41.926
Oct - Dec 2021,Household WEEE returned under regulation 43 (tonnes),"24,242.147",188.810,166.867,68.910,34.759,67.680,13.775,0.004,4.404,0.000,471.235,"12,337.855",58.543,0.469
Oct - Dec 2021,Household WEEE returned under regulation 50 (tonnes),"3,509.254","1,025.413","3,273.168","1,138.622",182.893,445.038,123.687,4.191,53.895,0.000,"1,374.715","3,153.197",784.978,30.818
Jul - Sep 2021,"Household WEEE collected from a DCF 
(tonnes)","17,983.556","7,088.354","6,344.897","4,350.428","1,171.655","5,504.433","1,090.901",0.182,221.354,0.000,"8,541.797","21,591.870",232.646,50.668
Jul - Sep 2021,Household WEEE returned under regulation 43 (tonnes),"21,475.185",180.738,195.590,43.949,23.031,66.386,9.580,0.001,3.479,0.000,360.065,"13,705.840",47.478,1.226
Jul - Sep 2021,Household WEEE returned under regulation 50 (tonnes),"3,809.215","1,010.396","3,305.552","1,050.852",212.771,433.003,103.026,3.200,71.055,0.000,"1,390.539","3,707.824",748.015,3.206
Apr - Jun 2021,"Household WEEE collected from a DCF 
(tonnes)","19,233.437","7,495.335","6,678.892","4,622.181","1,236.554","5,861.070","1,159.420",0.000,234.950,0.000,"8,725.071","21,224.126",258.124,53.415
Apr - Jun 2021,Household WEEE returned under regulation 43 (tonnes),"23,645.765",203.678,183.090,41.566,21.404,50.052,7.147,0.000,3.289,0.000,354.966,"11,441.598",72.336,0.202
Apr - Jun 2021,Household WEEE returned under regulation 50 (tonnes),"3,878.590","1,006.158","3,187.956","1,084.565",178.618,424.643,88.900,2.245,56.547,0.000,"1,217.805","3,053.589",683.697,8.911
Jan - Mar 2021,"Household WEEE collected from a DCF 
(tonnes)","18,442.580","6,502.247","5,745.951","3,967.882","1,065.190","5,041.780",996.093,0.000,204.897,0.000,"8,472.575","19,174.759",190.730,51.425
Jan - Mar 2021,Household WEEE returned under regulation 43 (tonnes),"24,966.133",100.862,169.185,26.995,37.684,60.304,5.863,0.000,3.278,0.000,328.139,"11,192.347",63.494,0.748
Jan - Mar 2021,Household WEEE returned under regulation 50 (tonnes),"3,789.700",860.327,"2,330.543",991.862,148.861,355.552,71.936,0.711,69.130,0.000,"1,012.173","2,654.039",667.466,11.253
Oct - Dec 2020,"Household WEEE collected from a DCF 
(tonnes)","19,164.098","6,591.339","6,015.523","4,474.434",882.177,"4,830.185",905.368,3.798,170.943,0.000,"9,046.320","19,133.190",210.352,38.075
Oct - Dec 2020,Household WEEE returned under regulation 43 (tonnes),"28,094.906",194.254,196.131,39.388,28.265,70.264,9.686,0.000,3.522,0.000,400.993,"13,284.258",38.359,1.202
Oct - Dec 2020,Household WEEE returned under regulation 50 (tonnes),"2,938.227",752.227,"2,805.854","1,015.645",143.609,376.611,76.182,2.935,130.010,0.000,838.031,"2,323.463",685.287,10.961
Jul - Sep 2020,"Household WEEE collected from a DCF 
(tonnes)","21,096.666","7,903.070","7,041.446","4,830.398","1,296.601","6,159.833","1,218.991",0.000,248.377,0.000,"9,792.454","22,135.140",188.701,58.498
Jul - Sep 2020,Household WEEE returned under regulation 43 (tonnes),"24,473.389",203.004,162.377,38.976,24.284,47.476,7.445,0.000,2.978,0.000,372.046,"14,847.642",49.998,21.536
Jul - Sep 2020,Household WEEE returned under regulation 50 (tonnes),"3,683.355",533.066,"2,184.406",982.444,129.633,252.756,53.295,6.260,32.142,0.000,776.892,"2,668.146",645.950,14.051
Apr - Jun 2020,"Household WEEE collected from a DCF 
(tonnes)","7,589.978","2,973.277","2,631.421","1,791.022",484.068,"2,286.288",450.314,0.000,92.100,0.000,"3,323.886","8,403.609",79.617,20.156
Apr - Jun 2020,Household WEEE returned under regulation 43 (tonnes),"16,768.202",93.911,113.021,19.256,17.680,23.036,3.460,0.000,2.538,0.000,193.512,"8,654.245",23.861,0.151
Apr - Jun 2020,Household WEEE returned under regulation 50 (tonnes),"3,193.078",473.068,"1,190.513",628.366,69.114,133.285,52.419,0.326,11.095,0.000,377.413,"1,431.824",350.434,9.259
Jan - Mar 2020,"Household WEEE collected from a DCF 
(tonnes)","22,029.799","7,290.036","6,492.087","4,412.811","1,183.725","5,596.606","1,109.338",0.000,226.318,0.000,"9,545.965","19,124.238",224.896,52.864
Jan - Mar 2020,Household WEEE returned under regulation 43 (tonnes),"23,689.138",180.658,161.930,59.698,29.603,59.458,10.518,0.002,5.991,0.000,348.019,"9,655.362",58.953,0.430
Jan - Mar 2020,Household WEEE returned under regulation 50 (tonnes),"12,289.268",682.563,"2,905.876","1,235.823",189.151,268.318,65.601,0.123,37.470,0.000,941.246,"2,522.317",888.633,7.776
Oct - Dec 2019,"Household WEEE collected from a DCF 
(tonnes)","17,302.553","6,539.438","6,606.667","6,418.385",9.982,"3,525.275",429.530,0.020,8.365,0.000,"8,802.921","18,989.485",231.190,4.008
Oct - Dec 2019,Household WEEE returned under regulation 43 (tonnes),"23,886.220",238.859,344.182,89.464,15.572,63.369,6.249,0.000,3.635,0.000,430.035,"10,677.714",62.657,0.764
Oct - Dec 2019,Household WEEE returned under regulation 50 (tonnes),"3,796.128",696.715,"3,083.899","1,341.429",112.881,225.741,37.618,0.115,29.972,0.000,"1,287.376","2,322.721",798.926,27.804
Jul - Sep 2019,"Household WEEE collected from a DCF 
(tonnes)","19,073.093","8,294.178","8,560.019","8,205.868",0.159,"4,499.148",541.111,0.040,7.442,0.000,"9,694.425","23,218.824",227.261,2.399
Jul - Sep 2019,Household WEEE returned under regulation 43 (tonnes),"20,649.244",198.914,175.612,115.374,23.640,84.097,9.533,0.005,10.596,0.026,295.415,"12,436.515",57.091,0.750
Jul - Sep 2019,Household WEEE returned under regulation 50 (tonnes),"4,077.822",816.071,"3,283.123","1,329.446",133.112,223.771,52.632,1.302,15.405,0.000,"1,508.854","2,733.194",815.222,6.885
Apr - Jun 2019,"Household WEEE collected from a DCF 
(tonnes)","19,318.061","8,651.034","8,566.326","8,190.091",0.028,"4,508.840",535.068,0.000,7.196,0.000,"9,453.269","21,365.752",244.503,1.455
Apr - Jun 2019,Household WEEE returned under regulation 43 (tonnes),"19,505.329",157.196,118.283,54.023,14.671,54.045,3.620,0.002,3.115,0.000,299.883,"8,837.873",61.507,0.980
Apr - Jun 2019,Household WEEE returned under regulation 50 (tonnes),"3,057.662",748.540,"3,026.190","1,224.343",142.794,228.129,50.484,0.013,38.447,0.000,"1,236.071","2,217.935",858.138,0.380
Jan - Mar 2019,"Household WEEE collected from a DCF 
(tonnes)","19,115.594","8,041.422","7,813.272","7,478.225",0.059,"4,088.996",495.361,0.020,6.565,0.000,"9,968.670","20,073.768",242.051,2.647
Jan - Mar 2019,Household WEEE returned under regulation 43 (tonnes),"21,291.375",163.866,126.403,63.327,19.365,43.026,5.589,0.030,3.884,0.003,369.756,"8,995.550",68.774,10.645
Jan - Mar 2019,Household WEEE returned under regulation 50 (tonnes),"3,729.087",966.231,"2,992.570","1,509.669",109.723,273.979,115.383,0.953,18.627,0.045,"1,267.755","2,335.578",885.940,6.022
Oct - Dec 2018,"Household WEEE collected from a DCF 
(tonnes)","17,309.510","6,905.682","6,954.591","6,612.573",0.000,"3,585.728",424.299,0.013,5.645,0.000,"9,329.286","19,704.736",197.865,2.286
Oct - Dec 2018,Household WEEE returned under regulation 43 (tonnes),"20,165.094",127.013,153.741,68.386,0.000,57.279,5.167,0.001,0.093,0.003,399.547,"9,040.234",56.610,0.208
Oct - Dec 2018,Household WEEE returned under regulation 50 (tonnes),"3,348.404",961.854,"3,015.910","1,453.231",0.000,285.516,45.616,1.897,22.133,0.000,"1,057.995","2,363.276",859.375,2.401
Jul - Sep 2018,"Household WEEE collected from a DCF 
(tonnes)","19,761.040","8,390.494","8,352.395","7,907.482",0.000,"4,330.806",512.530,0.069,10.281,0.048,"10,358.523","23,191.959",255.172,4.020
Jul - Sep 2018,Household WEEE returned under regulation 43 (tonnes),"18,197.163",179.926,162.939,47.790,0.000,53.728,5.329,1.050,0.114,0.000,283.700,"11,344.777",56.950,68.658
Jul - Sep 2018,Household WEEE returned under regulation 50 (tonnes),"2,371.164","1,627.011","2,959.437","1,239.674",0.000,183.151,33.180,0.265,23.089,0.000,"1,193.891","2,383.813",834.542,5.668
Apr - Jun 2018,"Household WEEE collected from a DCF 
(tonnes)","21,399.741","8,913.032","9,124.117","8,729.317",0.000,"4,820.096",567.453,0.031,10.090,0.000,"10,836.473","23,101.495",296.678,0.620
Apr - Jun 2018,Household WEEE returned under regulation 43 (tonnes),"19,917.867",217.898,141.081,42.476,0.000,43.172,5.386,0.206,0.076,0.000,220.241,"9,295.617",84.213,1.657
